modelo,notacao_kendall,periodo,lambda_hora,c,tempo_medio_servico_seg,mu_estimado_hora,rho_medio,Wq_media_seg,Wq_desvio_padrao_seg,W_media_seg,W_desvio_padrao_seg,Lq_media,L_media,utilizacao_media,P95_W_medio_seg,throughput_medio_hora,taxa_fila_media,quantidade_replicas,status_predominante,fator_degradacao_medio,erro_little_L_medio,erro_little_Lq_medio
M/D/c,M/D/c/∞/∞/FIFO,pico,480,1,12.4717,288.6535115501495,1.662893333333334,6378.538652923665,204.1694247354278,6391.010352923663,204.1694247354278,850.4718203898216,852.134713723155,1.0,11062.514076391022,275.5911111111111,1.0,30,INSTAVEL,504.15154540331423,3.3375042404156376,3.276204074683541
M/D/c,M/D/c/∞/∞/FIFO,pico,480,2,12.4717,288.6535115501495,0.831446666666667,14.23419766445868,2.2943699547527476,26.705897664457893,2.2943699547527485,1.8978930219278236,3.560786355261053,0.8316337971259462,62.32707234861126,479.61333333333346,0.7446916752598566,30,ESTAVEL,2.106680921391402,1.3777446131063718,1.3579819795712476
M/D/c,M/D/c/∞/∞/FIFO,pico,480,3,12.4717,288.6535115501495,0.5542977777777778,1.5232821061825839,0.18658412979081818,13.994982106181798,0.18658412979081723,0.20310428082434448,1.8659976141575731,0.5544831135529925,21.266591952534956,479.9244444444444,0.28612501223732073,30,ESTAVEL,1.1039869233658182,1.4553095208444053,1.4336181118511182
M/D/c,M/D/c/∞/∞/FIFO,pico,480,4,12.4717,288.6535115501495,0.4157233333333335,0.3379513030955514,0.04625808673246668,12.809651303094775,0.04625808673246885,0.04506017374607352,1.7079535070793033,0.4174120181924093,15.232461582303953,481.7066666666667,0.09819378914148962,30,ESTAVEL,1.0104827161762462,1.4959572472874312,1.4302231557476808
M/D/c,M/D/c/∞/∞/FIFO,pico,480,5,12.4717,288.6535115501495,0.3325786666666667,0.07745802795249465,0.01666795045571624,12.54915802795171,0.01666795045571373,0.010327737060332621,1.6732210703935615,0.332264010408807,12.471700000000055,479.31111111111113,0.028588930811739976,30,ESTAVEL,0.9899338389286183,1.1160305146358658,1.11759259259259
M/D/c,M/D/c/∞/∞/FIFO,pico,480,8,12.4717,288.6535115501495,0.20786166666666675,0.0006434853240929751,0.0010508032991169685,12.47234348532331,0.0010508032991146732,8.579804321239667e-05,1.6629791313764413,0.2074021726735265,12.471700000000055,478.7288888888888,0.0003157352345758812,30,ESTAVEL,0.9838743634721532,1.3256529107860535,1.1547619047619058
M/D/c,M/D/c/∞/∞/FIFO,pico,480,10,12.4717,288.6535115501495,0.16628933333333334,0.0,0.0,12.471699999999219,1.4908363196687233e-14,0.0,1.662893333333229,0.16680928651238425,12.471700000000055,481.24000000000007,0.0,30,ESTAVEL,0.9838236024652587,1.440498942670208,
M/D/c,M/D/c/∞/∞/FIFO,pico,480,15,12.4717,288.6535115501495,0.11085955555555553,0.0,0.0,12.47169999999922,1.3959663991052194e-14,0.0,1.6628933333332294,0.11080487128806439,12.471700000000055,479.5066666666666,0.0,30,ESTAVEL,0.9838236024652587,1.4343307974618533,
M/D/c,M/D/c/∞/∞/FIFO,pico,720,1,12.4717,288.6535115501495,2.4943399999999993,9965.28346807276,203.3895384244877,9977.755168072757,203.38953842448765,1993.0566936145515,1995.5510336145512,1.0,16535.901681345786,259.70222222222225,1.0,30,INSTAVEL,787.0900546012418,7.895873500726904,7.830750326534491
M/D/c,M/D/c/∞/∞/FIFO,pico,720,2,12.4717,288.6535115501495,1.2471699999999997,3080.828000565414,233.70777721084426,3093.299700565413,233.70777721084426,616.1656001130829,618.6599401130827,1.0,5446.049436319751,566.9333333333333,1.0,30,INSTAVEL,244.01334660993783,1.737415241987122,1.7009844085330796
M/D/c,M/D/c/∞/∞/FIFO,pico,720,3,12.4717,288.6535115501495,0.831446666666667,8.309088279162674,0.8699728287031417,20.780788279161893,0.8699728287031421,1.6618176558325348,4.156157655832378,0.8279444388609789,42.566412033626996,716.4399999999999,0.6785623426594901,30,ESTAVEL,1.6392817327929763,0.9678459087049689,0.9594104763576392
M/D/c,M/D/c/∞/∞/FIFO,pico,720,4,12.4717,288.6535115501495,0.6235849999999998,1.4385478786874657,0.1359764398518892,13.910247878686684,0.13597643985189178,0.2877095757374933,2.7820495757373367,0.6231306862517921,20.56025092664443,719.0755555555556,0.2999476513997436,30,ESTAVEL,1.0973027076657647,1.2962297309529438,1.2603941973091561
M/D/c,M/D/c/∞/∞/FIFO,pico,720,5,12.4717,288.6535115501495,0.498868,0.3788931571551989,0.050853974383067026,12.850593157154412,0.05085397438306853,0.07577863143103979,2.5701186314308826,0.49867682748025255,15.59996312657953,719.391111111111,0.12018923913073086,30,ESTAVEL,1.0137123931531267,1.0539388698790508,1.021019805459465
M/D/c,M/D/c/∞/∞/FIFO,pico,720,8,12.4717,288.6535115501495,0.3117924999999999,0.007639393603664252,0.0034733381265453565,12.479339393602888,0.0034733381265443157,0.0015278787207328509,2.4958678787205772,0.31236136779334206,12.471700000000055,720.9111111111109,0.004802574911185172,30,ESTAVEL,0.9844262320775659,1.0341996072887545,1.032716049382716
M/D/c,M/D/c/∞/∞/FIFO,pico,720,10,12.4717,288.6535115501495,0.249434,0.0004326771056609402,0.0006554934405295268,12.472132677104879,0.0006554934405269882,8.653542113218803e-05,2.4944265354209763,0.24971285276938585,12.471700000000055,720.4533333333334,0.0003639785176987115,30,ESTAVEL,0.9838577339749004,0.9991300115736282,1.0777777777777764
M/D/c,M/D/c/∞/∞/FIFO,pico,720,15,12.4717,288.6535115501495,0.16628933333333334,0.0,0.0,12.471699999999215,1.166173199458004e-14,0.0,2.494339999999843,0.16589704571234729,12.471700000000055,717.9822222222223,0.0,30,ESTAVEL,0.9838236024652587,0.9003936303881643,
M/D/c,M/D/c/∞/∞/FIFO,pico,960,1,12.4717,288.6535115501495,3.325786666666668,12237.95635566295,228.11404679207834,12250.428055662947,228.11404679207817,3263.4550281767865,3266.780814843453,1.0,19362.79018434616,242.67111111111112,1.0,30,INSTAVEL,966.368679607796,12.654232449448887,12.595833278115276
M/D/c,M/D/c/∞/∞/FIFO,pico,960,2,12.4717,288.6535115501495,1.662893333333334,6334.169900470684,210.53079928055848,6346.641600470683,210.5307992805585,1689.111973458849,1692.4377601255155,1.0,10984.99448099374,551.6355555555555,1.0,30,INSTAVEL,500.65153931952614,3.6836063223715616,3.612295421334013
M/D/c,M/D/c/∞/∞/FIFO,pico,960,3,12.4717,288.6535115501495,1.1085955555555556,1519.6589163853891,156.50749312059662,1532.130616385388,156.50749312059662,405.2423777027705,408.5681643694369,1.0000000000000013,2722.702183562252,858.231111111111,1.0,30,INSTAVEL,120.8613310502726,1.1329089280500484,1.0938219302774952
M/D/c,M/D/c/∞/∞/FIFO,pico,960,4,12.4717,288.6535115501495,0.831446666666667,6.152564534654103,0.6313531959684233,18.62426453465332,0.6313531959684268,1.6406838759077609,4.966470542574219,0.8321789267975471,35.83321222891836,960.1688888888889,0.6365977421967349,30,ESTAVEL,1.4691654728505121,0.9476458870540453,0.9612527740475176
M/D/c,M/D/c/∞/∞/FIFO,pico,960,5,12.4717,288.6535115501495,0.6651573333333334,1.344455968852173,0.1293718734500097,13.816155968851389,0.12937187345001178,0.35852159169391257,3.68430825836037,0.6653331872307583,19.952461763162095,959.7377777777776,0.307806363796096,30,ESTAVEL,1.089880316035353,0.9552575759058651,0.9816429031455052
M/D/c,M/D/c/∞/∞/FIFO,pico,960,8,12.4717,288.6535115501495,0.4157233333333335,0.03969353371220563,0.007267843271160427,12.51139353371143,0.007267843271163182,0.01058494232325483,3.336371608989714,0.4142721980750102,12.471700000000055,956.2622222222221,0.020690893826098837,30,ESTAVEL,0.9869548063373311,0.8841197760093081,0.8651186093501136
M/D/c,M/D/c/∞/∞/FIFO,pico,960,10,12.4717,288.6535115501495,0.3325786666666667,0.003541589749772971,0.0024714254877093965,12.475241589748991,0.0024714254877114903,0.0009444239332727924,3.3267310905997305,0.331905667058377,12.471700000000055,957.6444444444443,0.002272961757779052,30,ESTAVEL,0.9841029789404849,0.9710746290348732,0.9814814814814807
M/D/c,M/D/c/∞/∞/FIFO,pico,960,15,12.4717,288.6535115501495,0.22171911111111106,0.0,0.0,12.471699999999215,1.4869387017067098e-14,0.0,3.325786666666458,0.22216320377490734,12.471700000000055,961.5466666666667,0.0,30,ESTAVEL,0.9838236024652587,0.9411031577901163,
M/D/c,M/D/c/∞/∞/FIFO,pico,1200,1,12.4717,288.6535115501495,4.157233333333335,13758.31921784911,170.01472391477694,13770.790917849108,170.01472391477685,4586.106405949703,4590.263639283035,1.0,21082.472018182125,228.3777777777778,1.0,30,INSTAVEL,1086.3017174559225,15.40121697245346,15.34632296993956
